Area Code,Area,Count of rents,Average,Lower quartile,Median,Upper quartile,Total Mean Annual Household Income estimate,Total Median Annual Household Income estimate,Rent Ratio
E09000001,City of London,105,1810,1430,1712,2058,59728,46788,0.36364854
E09000002,Barking and Dagenham,755,851,700,850,1000,35005,30495,0.291729753
E09000003,Barnet,3024,1382,901,1170,1517,46615,36325,0.355765312
E09000004,Bexley,759,857,695,800,1000,41750,34157,0.246323353
E09000005,Brent,1740,1321,850,1200,1517,39093,31851,0.40549459
E09000006,Bromley,1759,1041,781,950,1175,51163,39473,0.244160819
E09000007,Camden,3299,1894,1278,1690,2253,52962,39847,0.429137872
E09000008,Croydon,1349,873,650,850,1100,41710,34131,0.251162791
E09000009,Ealing,3028,1168,796,1100,1388,44236,34640,0.316846008
E09000010,Enfield,1220,1022,750,997,1200,39946,32000,0.30701447
E09000011,Greenwich,1073,1021,700,897,1200,43816,33759,0.279623882
E09000012,Hackney,1600,1296,863,1300,1625,40729,33396,0.381840949
E09000013,Hammersmith and Fulham,1813,1797,1130,1517,2037,53959,40826,0.399636761
E09000014,Haringey,1742,1146,700,1083,1387,41018,33140,0.335267444
E09000015,Harrow,1227,1082,850,1050,1300,42900,35152,0.302657343
E09000016,Havering,831,863,700,825,975,41506,34003,0.249506096
E09000017,Hillingdon,2094,925,680,900,1150,42132,34916,0.263457704
E09000018,Hounslow,2170,1151,850,1075,1300,42459,33536,0.325302056
E09000019,Islington,2232,1553,1127,1473,1907,53613,37864,0.347602261
E09000020,Kensington and Chelsea,1077,2762,1473,2080,3185,70525,46184,0.469961007
E09000021,Kingston upon Thames,2055,893,390,483,1248,51536,40702,0.207932319
E09000022,Lambeth,2671,1324,950,1235,1560,44943,36015,0.353514452
E09000023,Lewisham,2534,967,720,900,1150,41512,34219,0.279533629
E09000024,Merton,1838,1248,900,1138,1400,50420,37261,0.29702499
E09000025,Newham,1096,917,724,900,1127,34552,27821,0.318476499
E09000026,Redbridge,1648,936,700,900,1150,44432,35442,0.252790781
E09000027,Richmond upon Thames,2198,1520,975,1275,1733,57905,44685,0.314998705
E09000028,Southwark,2911,1332,900,1213,1647,45769,34452,0.349232013
E09000029,Sutton,608,930,710,850,1050,43568,35911,0.256151304
E09000030,Tower Hamlets,1380,1329,975,1300,1603,49160,37073,0.32441009
E09000031,Waltham Forest,1366,927,750,900,1100,38983,31996,0.285355155
E09000032,Wandsworth,3639,1437,1050,1325,1690,60093,43453,0.286955219
E09000033,Westminster,2688,2482,1408,1950,2817,68953,42083,0.431946398
E13000001,Inner London,28787,1557,950,1300,1820,50669,36886,0.368746176
E13000002,Outer London,30742,1105,750,997,1300,44018,35070,0.301240402
E12000001,North East,20879,471,390,450,525,34313,25000,0.164718911
E12000002,North West,63031,522,400,495,595,36333,28367,0.172405251
E12000003,Yorkshire and The Humber,47991,543,395,475,590,34873,27348,0.186849425
E12000004,East Midlands,50276,521,412,495,595,35775,27968,0.17475891
E12000005,West Midlands,40155,544,425,525,600,38279,29500,0.17053737
E12000006,East,55133,656,495,595,750,41775,31827,0.188438061
E12000007,London,59529,1324,825,1148,1517,46549,35740,0.341317751
E12000008,South East,80138,825,575,725,900,45042,33610,0.219794858
E12000009,South West,73992,659,495,600,750,37194,28602,0.212614938
